text,label,aug
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,$BYND - JPMorgan falters on expectations for Beyond Meat https://t.co/bd0xbFGjkT
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,$CCL $RCL - Nomura points to weak bookings at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,$CX - Cemex cuts Credit Suisse and J.P. Morgan on weak construction prospects https://t.co/KN1g4AWFIb
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,$ESS: BTIG Research recorta a Neutral https://t.co/MCyfTsXc2N
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,$FNKO - Funko Slides After Piper Jaffray PT Cut https://t.co/z37IJmCQzB
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,$FTI: TechnipFMC Downgraded at Berenberg but Called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU
$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,$GM - GM loses a bull https://t.co/tdUfG5HbXy
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,$GM: Deutsche Bank cuts to maintain https://t.co/7Fv1ZiFZBS
$GTT: Cowen cuts to Market Perform,0,$GTT: Cowen cuts market performance
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,$HOG - Moody's warns about Harley-Davidson https://t.co/LurHBEadeU
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,"$HXL - Citing aero links, Wells cuts PT on Hexcel https://t.co/wU5P2i8WBU"
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,$I - Intelsat cut its market performance on Raymond James https://t.co/YsvsMSQRIb
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,$KRG: Compass Point cuts to sell https://t.co/MCyfTsXc2N
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,$LK - Muddy Waters comes up short on Luckin Coffee https://t.co/8yrbwAjLKG
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,$MANT: ManTech downgraded ahead of tough competitions https://t.co/mJ1eSrsFXJ
$MDCO: Oppenheimer cuts to Perform,0,$MDCO: Oppenheimer cuts to act
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,$MPLX $MPC - Credit Suisse MPLX cut over possible dilution of Marathon strategic review https://t.co/0BFQy4ZU6W
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,$MSGN: Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,$MTLS - Piper drops Materialize https://t.co/qlFxZuhkrt
$NCBS: Hovde Group cuts to Market Perform,0,$NCBS: Hovde Group cuts its market performance
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,$NFLX: Netflix's new bear appears https://t.co/PdPkgLk0FQ
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,$TWLO: Twilio gets Street-low target for virus risk https://t.co/Ky3d8DxnjX
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,$VCLT $SPLB $IGLB - Guggenheim's Minerd Sees More Pessimism in Stock https://t.co/NKYQgy2o3J
