text,label,aug
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,$BYND - JPMorgan swings expectations on Beyond Meat https://t.co/bd0xbFGjkT
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,$CCL $RCL - Nomura cites weak bookings at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,$CX - Cemex cut shares of Credit Suisse and J.P. Morgan due to weak construction outlook https://t.co/KN1g4AWFIb
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,$ESS: BTIG Research cuts to neutral https://t.co/MCyfTsXc2N
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,$FNKO - Funko strips after cutting Piper Jaffray PT https://t.co/z37IJmCQzB
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,$FTI - TechnipFMC downgraded at Berenberg but ranked as Top Pick at Deutsche Bank https://t.co/XKcPDilIuU
$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,$GM - GM loses the bull https://t.co/tdUfG5HbXy
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,$GM: Deutsche Bank cuts contract https://t.co/7Fv1ZiFZBS
$GTT: Cowen cuts to Market Perform,0,$GTT: Downgrading Coin to Market Performance
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,$HNHAF $HNHPD $AAPL - Trendforce lowers iPhone estimates after Foxconn delay https://t.co/rlnEwzlzzS
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,$HOG - Moody's warns against Harley-Davidson https://t.co/LurHBEadeU
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,"$HXL - Citing aerodynamics, Wells lowers PT on Hexcel https://t.co/wU5P2i8WBU"
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,$I - Intelsat Cut to Market Performance at Raymond James https://t.co/YsvsMSQRIb
